始发分拣中心,到达分拣中心
SC7,SC8
SC30,SC8
SC22,SC8
SC44,SC8
SC4,SC8
SC18,SC8
SC23,SC8
SC19,SC8
SC24,SC8
SC52,SC8
SC2,SC8
SC28,SC8
SC15,SC8
SC7,SC5
SC30,SC5
SC22,SC5
SC44,SC5
SC18,SC5
SC23,SC5
SC19,SC5
SC52,SC5
SC2,SC5
SC8,SC5
SC28,SC5
SC7,SC4
SC5,SC4
SC30,SC4
SC22,SC4
SC18,SC4
SC23,SC4
SC19,SC4
SC52,SC4
SC2,SC4
SC8,SC4
SC7,SC47
SC30,SC47
SC22,SC47
SC44,SC47
SC4,SC47
SC18,SC47
SC23,SC47
SC48,SC47
SC19,SC47
SC24,SC47
SC52,SC47
SC2,SC47
SC55,SC47
SC8,SC47
SC28,SC47
SC15,SC47
SC43,SC47
SC7,SC15
SC22,SC15
SC44,SC15
SC8,SC15
SC63,SC15
SC7,SC51
SC30,SC51
SC19,SC51
SC52,SC51
SC2,SC51
SC68,SC10
SC21,SC10
SC32,SC10
SC26,SC10
SC68,SC57
SC21,SC57
SC10,SC57
SC32,SC57
SC60,SC57
SC16,SC25
SC56,SC25
SC27,SC25
SC29,SC25
SC37,SC25
SC58,SC25
SC16,SC1
SC56,SC1
SC27,SC1
SC25,SC1
SC29,SC1
SC58,SC1
SC54,SC1
SC30,SC7
SC22,SC7
SC44,SC7
SC4,SC7
SC18,SC7
SC23,SC7
SC48,SC7
SC19,SC7
SC24,SC7
SC52,SC7
SC2,SC7
SC8,SC7
SC28,SC7
SC15,SC7
SC53,SC9
SC34,SC9
SC31,SC9
SC53,SC31
SC34,SC31
SC9,SC31
SC38,SC6
SC21,SC6
SC32,SC6
SC12,SC6
SC21,SC60
SC32,SC60
SC41,SC60
SC18,SC2
SC36,SC2
SC48,SC44
SC5,SC44
SC24,SC44
SC55,SC44
SC43,SC44
SC66,SC44
SC35,SC3
SC9,SC53
SC31,SC53
SC3,SC35
